unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625148000000,2021-07-01 14:00:00,DOT/USDT,15.29100000,15.45300000,15.16300000,15.25600000,396801.41800000,6063886.59798400,10903
1625144400000,2021-07-01 13:00:00,DOT/USDT,15.57500000,15.60500000,15.29200000,15.29200000,299221.87800000,4628312.07541100,8702
1625140800000,2021-07-01 12:00:00,DOT/USDT,15.59000000,15.64000000,15.39700000,15.57300000,381674.32400000,5928160.86300000,10518
1625137200000,2021-07-01 11:00:00,DOT/USDT,15.26500000,15.62500000,15.25100000,15.59100000,528291.04100000,8188084.70576300,13615
1625133600000,2021-07-01 10:00:00,DOT/USDT,15.28100000,15.38000000,15.16100000,15.26500000,383196.48400000,5853864.22444200,10026
1625130000000,2021-07-01 09:00:00,DOT/USDT,15.36500000,15.39600000,15.15000000,15.28000000,429366.85100000,6566944.57781400,10295
1625126400000,2021-07-01 08:00:00,DOT/USDT,15.21300000,15.38300000,15.16400000,15.37000000,530057.79300000,8098662.81155100,12161
1625122800000,2021-07-01 07:00:00,DOT/USDT,15.27900000,15.43900000,15.18600000,15.21500000,666715.94400000,10205168.41080900,15472
1625119200000,2021-07-01 06:00:00,DOT/USDT,15.72900000,15.86100000,15.25000000,15.27900000,720117.35000000,11181475.52735400,17385
1625115600000,2021-07-01 05:00:00,DOT/USDT,15.76200000,15.80900000,15.57300000,15.72600000,223903.39800000,3512966.05558800,6983
1625112000000,2021-07-01 04:00:00,DOT/USDT,15.54300000,15.77100000,15.51800000,15.75400000,337053.71500000,5265971.96121500,8977
1625108400000,2021-07-01 03:00:00,DOT/USDT,15.74400000,15.84300000,15.51900000,15.54600000,442353.91200000,6930809.02705700,10295
1625104800000,2021-07-01 02:00:00,DOT/USDT,16.22000000,16.23500000,15.70600000,15.74600000,623040.67200000,9890152.15384900,15482
1625101200000,2021-07-01 01:00:00,DOT/USDT,16.11400000,16.28700000,16.11400000,16.21100000,288756.21500000,4680153.03657600,6415
1625097600000,2021-07-01 00:00:00,DOT/USDT,16.40000000,16.41100000,16.10900000,16.11800000,428684.25200000,6949442.00897700,10661
1625094000000,2021-06-30 23:00:00,DOT/USDT,16.18700000,16.43600000,16.15500000,16.40200000,521478.97400000,8494401.52876000,15100
1625090400000,2021-06-30 22:00:00,DOT/USDT,16.12000000,16.30000000,15.97000000,16.18800000,435073.43800000,7008170.45907500,11824
1625086800000,2021-06-30 21:00:00,DOT/USDT,16.08000000,16.30000000,16.06100000,16.12300000,398666.61700000,6449711.37297300,11177
1625083200000,2021-06-30 20:00:00,DOT/USDT,15.91300000,16.28700000,15.87600000,16.08400000,944172.29500000,15228834.01984700,25126
1625079600000,2021-06-30 19:00:00,DOT/USDT,15.79200000,16.01200000,15.72800000,15.91700000,531995.81400000,8445621.46458500,14664
1625076000000,2021-06-30 18:00:00,DOT/USDT,15.64300000,15.80000000,15.54700000,15.79100000,403027.57100000,6312304.26543900,11803
1625072400000,2021-06-30 17:00:00,DOT/USDT,15.22000000,15.65000000,15.21500000,15.64000000,554657.19800000,8574608.34137700,12501
1625068800000,2021-06-30 16:00:00,DOT/USDT,15.17100000,15.40000000,15.11600000,15.21900000,491761.24200000,7513058.33875900,12064
1625065200000,2021-06-30 15:00:00,DOT/USDT,15.36800000,15.39100000,15.08600000,15.17100000,780333.68600000,11857089.60366000,17404
1625061600000,2021-06-30 14:00:00,DOT/USDT,15.53400000,15.60800000,15.32300000,15.36900000,346301.92400000,5354109.65236400,9936
1625058000000,2021-06-30 13:00:00,DOT/USDT,15.46100000,15.55100000,15.20000000,15.54300000,645693.65600000,9897379.89813100,16219
1625054400000,2021-06-30 12:00:00,DOT/USDT,15.57400000,15.66200000,15.44000000,15.46200000,330940.42900000,5146113.97543500,9033
1625050800000,2021-06-30 11:00:00,DOT/USDT,15.60400000,15.70500000,15.43900000,15.57300000,520055.40800000,8105473.58280600,12042
1625047200000,2021-06-30 10:00:00,DOT/USDT,15.58200000,15.67500000,15.47600000,15.60800000,528810.52600000,8246796.66120500,11220
1625043600000,2021-06-30 09:00:00,DOT/USDT,15.59200000,15.77300000,15.46600000,15.58100000,628698.63100000,9806077.32483500,16356
1625040000000,2021-06-30 08:00:00,DOT/USDT,15.96600000,15.97200000,15.54600000,15.59400000,563738.52200000,8894686.28588800,14649
1625036400000,2021-06-30 07:00:00,DOT/USDT,15.81700000,15.99400000,15.59500000,15.96500000,523885.48600000,8279802.76538900,12340
1625032800000,2021-06-30 06:00:00,DOT/USDT,15.71600000,15.92500000,15.67800000,15.81600000,429423.40500000,6801330.68288800,11079
1625029200000,2021-06-30 05:00:00,DOT/USDT,15.66500000,15.80000000,15.60200000,15.71500000,619232.48800000,9729115.24456500,13428
1625025600000,2021-06-30 04:00:00,DOT/USDT,16.08400000,16.17100000,15.60000000,15.66400000,1145746.86300000,18163038.19076100,24745
1625022000000,2021-06-30 03:00:00,DOT/USDT,16.56300000,16.56300000,16.03700000,16.08400000,720723.03300000,11688904.78139900,15148
1625018400000,2021-06-30 02:00:00,DOT/USDT,16.42800000,16.62800000,16.25900000,16.55900000,536197.88500000,8841059.33247700,27050
1625014800000,2021-06-30 01:00:00,DOT/USDT,16.36800000,16.42800000,16.08100000,16.42800000,442651.41600000,7186731.35213600,29188
1625011200000,2021-06-30 00:00:00,DOT/USDT,16.30500000,16.49900000,16.01300000,16.36800000,479266.72500000,7814476.52138200,16687
